"address";"address"
"Av. Sen.  Vergueiro";2
"R. Jaguaribe";2
"Av. Silvestre Pires de Freitas";2
"Av. Sousa Bandeira";2
"Av. Sylvio Torres";2
"Av. São F Maluf";2
"R. Hortolândia";2
"R. Victório Santim";2
"Av. Teodoro Bernardo do Nascimento";2
"Av. Guarulhos";2
"R. Vicenzo Catena";2
"R. José Teodoro de Lima";2
"R. Jaci";2
"Av. Gameleira Branca";2
"Av. Fábio Eduardo Ramos Esquivel";2
"Av. Fuad Lutfalla";2
"Av. Francisco de Paula Quintanilha Ribeiro";2
"R. dos Jasmins";2
"Av. Visc. de Nova Granada";2
"R. José Norberto da Fonseca";2
"Av. Emérico Richter";2
"Av. Emb. Macedo Soares";2
"R. Valdemar Martins";2
"R. José Manuel de Morais";2
"R. Turiassú";2
"R. Tupi";2
"Morumbi Bridge";2
"Parque da Água Branca";2
"Pte. Aricanduva";2
"Pte. Eng. Ari Torres";2
"Av. Doná Eugênia Machado da Silva";2
"Pte. Laguna";2
"Pte. Transamérica";2
"Av. Dom Pedro II";2
"R. Áurea da Gama";2
"Pte. das Bandeiras";2
"Pte. do Jaguaré";2
"Pte. do Limão";2
"Pte. do Piqueri";2
"R. José Ivo da Costa";2
"R. Hassib Mofarrej";2
"Estr. do Jusa";2
"Av. Dr. Felipe Pinel";2
"R. Utaro Kanai";2
"Av. Eduardo Sabino de Oliveira";2
"Av. Eduardo Roberto Daher";2
"R. Jair de Mello Viana";2
"Av. dos Remédios";2
"Av. Água Fria";2
"R. Henri Dunant";2
"Av. Ônix";2
"R. José Martins dos Santos";2
"Av. Dr. Guilherme de Abreu Sodré";2
"Cidade Antonio Estevão de Carvalho";2
"R. União dos Movimentos";2
"R. União";2
"R. José Martins de Aguiar";2
"R. Umuarama";2
"R. Umberto Gorgati";2
"Estr. Líder";2
"R. Horácio Vergueiro Rudge";2
"R. Vinte";2
"R. Kobe";2
"R. João Florêncio";2
"R. do Farol";2
"R. João Gomes Pereira";2
"R. do Horto";2
"R. João Lanhoso";2
"Av. Miguel Estefano";2
"R. da Praia dos Lavradores";2
"Av. Moreira Guimarães";2
"R. da Independência";2
"R. da Glória";2
"R. da Figueira";2
"R. da Estilística";2
"R. do Inverno";2
"R. do Lavapés";2
"Av. Nova Zelãndia";2
"R. João Maria da Silva";2
"R. Inglaterra";2
"Av. Otacílio Tomanik";2
"Av. Mascote";2
"R. João Ferreira da Silva";2
"Av. Sarah Veloso";2
"R. João Bodin";2
"R. Isabel de Castela";2
"Av. Lino Antônio Nogueira";2
"Av. Luís Stamatis";2
"Av. Leonardo da Vinci";2
"Av. Macuco";2
"Av. Lauro de Gusmão Silveira";2
"R. das Perobas";2
"Av. Lauro Gomes";2
"R. Irmão Ivo Bernardo";2
"Av. Manoel dos Santos Braga";2
"R. Irmã Maria Rosa";2
